	Unnamed: 0	chr	start	end	no drugs avg	with drugs avg	change	close genes
0	122	1.0	197149593.0	197149670.0	0.926743642982076	0.320057177275883	0.606686465706193	"[' ""ASPM""', ' ""SEPTIN14P12""', ' ""ZBTB41""', ' ""AL513325.1""']"
1	126	1.0	220164475.0	220164575.0	0.917342233637754	0.2260348761744969	0.6913073574632571	"[' ""IARS2""', ' ""MIR215""', ' ""MIR194-1""', ' ""RPS15AP12""', ' ""MIR664A""', ' ""SNORA36B""', ' ""AL445435.1""', ' ""KF455155.1""', ' ""MORF4L1P1""']"
2	147	1.0	98286051.0	98286321.0	0.9004160557750709	0.297318213864956	0.603097841910115	"[' ""LINC01776""']"
3	220	1.0	178279893.0	178280005.0	0.92242739916997	0.321349524122498	0.6010778750474719	"[' ""AL160281.1""']"
4	350	1.0	217920694.0	217920754.0	0.8767642962325309	0.2252125564718689	0.6515517397606619	"[' ""UBBP2""', ' ""LINC00210""']"
5	425	1.0	91977035.0	91977305.0	0.9185031437452421	0.291613394471932	0.6268897492733101	"[' ""BRDT""', ' ""EPHX4""', ' ""LPCAT2BP""', ' ""SETSIP""']"
6	443	1.0	62996254.0	62996494.0	0.941344918530751	0.30595628034155103	0.6353886381892	"[' ""AC099794.2""', ' ""LINC01739""', ' ""AL162400.3""', ' ""AL162400.1""', ' ""AL162400.2""']"
7	524	1.0	88646350.0	88646429.0	0.9162336852723392	0.30547516832628197	0.6107585169460572	"[' ""RPL36AP10""']"
8	536	1.0	178252084.0	178252354.0	0.956220746821678	0.31216957729775	0.6440511695239279	"[' ""AL160281.1""']"
9	637	1.0	28535479.0	28535630.0	0.922122583527756	0.32147311437622195	0.6006494691515339	"[' ""CR391992.1""', ' ""RNU6ATAC27P""', ' ""RCC1""', ' ""SNHG3""', ' ""SNORA73A""', ' ""SNORA73B""', ' ""PRDX3P2""', ' ""AL513497.1""', ' ""TRNAU1AP""', ' ""SNHG12""', ' ""SNORD99""', ' ""SNORA61""', ' ""SNORA44""', ' ""SNORA16A""', ' ""SNORA16A""', ' ""RAB42""']"
10	672	1.0	221651504.0	221651631.0	0.905186665020455	0.294126643468258	0.6110600215521971	"[' ""AL360013.4""', ' ""DUSP10""']"
11	941	1.0	220286569.0	220286839.0	0.9568391252753372	0.32972000534311796	0.6271191199322191	"[' ""MIR664A""', ' ""SNORA36B""', ' ""AL445435.1""', ' ""KF455155.1""', ' ""MORF4L1P1""', ' ""AURKAP1""', ' ""XRCC6P3""', ' ""AL451081.2""', ' ""AL451081.1""']"
12	1195	1.0	108859246.0	108859516.0	0.9370535208101758	0.284968707302156	0.6520848135080197	"[' ""AL591719.1""', ' ""SPATA42""', ' ""GPSM2""']"
13	1198	1.0	31807935.0	31808175.0	0.9541924868794928	0.33636708440343394	0.617825402476059	"[' ""ADGRB2""', ' ""MIR4254""', ' ""AL354919.2""', ' ""SPOCD1""', ' ""AL354919.1""']"
14	1231	1.0	215779999.0	215780239.0	0.895421798954532	0.28383146365456297	0.611590335299969	[]
15	1266	1.0	3702093.0	3702333.0	0.9294615419383221	0.31187984635465005	0.617581695583672	"[' ""AL513320.1""', ' ""TPRG1L""', ' ""WRAP73""', ' ""TP73""', ' ""AL136528.1""', ' ""AL136528.2""', ' ""TP73-AS1""', ' ""AL136528.3""', ' ""CCDC27""', ' ""SMIM1""', ' ""LRRC47""', ' ""RN7SL574P""', ' ""AL365330.1""']"
16	1339	1.0	101704347.0	101704587.0	0.861464664663411	0.240376746107798	0.621087918555613	"[' ""LINC01709""', ' ""RNU6-965P""', ' ""RPSAP19""']"
17	1389	1.0	220363157.0	220363397.0	0.893628879648701	0.261138093256216	0.6324907863924849	"[' ""AURKAP1""', ' ""XRCC6P3""', ' ""AL451081.2""', ' ""AL451081.1""', ' ""AC096644.3""', ' ""AC096644.2""', ' ""AC096644.1""']"
18	1411	1.0	100500122.0	100500362.0	0.983227792178967	0.37741508734335294	0.6058127048356141	"[' ""AL589990.1""', ' ""GPR88""', ' ""AC099670.1""']"
19	1489	1.0	205779684.0	205779924.0	0.953800532736397	0.3331141818430711	0.6206863508933259	"[' ""Metazoa_SRP""', ' ""NUCKS1""', ' ""SNORA72""', ' ""RAB29""', ' ""AC119673.1""', ' ""SLC41A1""', ' ""PM20D1""']"
20	1657	1.0	236096819.0	236097089.0	0.9332191418420508	0.302385613683373	0.6308335281586779	"[' ""Y_RNA""', ' ""AL122018.1""', ' ""AL122018.2""']"
21	1758	1.0	178252174.0	178252253.0	0.9624285194600458	0.319396223121708	0.6430322963383378	"[' ""AL160281.1""']"
22	1827	1.0	193039200.0	193039440.0	0.946072627124896	0.337638776326324	0.608433850798572	"[' ""ZNF101P2""', ' ""UCHL5""', ' ""SCARNA18B""', ' ""RO60""', ' ""GLRX2""', ' ""MIR1278""']"
23	2098	1.0	156289480.0	156289720.0	0.950548978061822	0.33688088403385197	0.6136680940279701	"[' ""AL135927.1""', ' ""SLC25A44""', ' ""PMF1-BGLAP""', ' ""PMF1""', ' ""BGLAP""', ' ""PAQR6""', ' ""SMG5""', ' ""TMEM79""', ' ""GLMP""', ' ""VHLL""', ' ""CCT3""', ' ""TSACC""', ' ""RHBG""']"
24	2471	1.0	28535500.0	28536030.0	0.918304613912519	0.29857421284273306	0.6197304010697859	"[' ""CR391992.1""', ' ""RNU6ATAC27P""', ' ""RCC1""', ' ""SNHG3""', ' ""SNORA73A""', ' ""SNORA73B""', ' ""PRDX3P2""', ' ""AL513497.1""', ' ""TRNAU1AP""', ' ""SNHG12""', ' ""SNORD99""', ' ""SNORA61""', ' ""SNORA44""', ' ""SNORA16A""', ' ""SNORA16A""', ' ""RAB42""']"
25	2494	1.0	178279717.0	178280219.0	0.92242739916997	0.321349524122498	0.6010778750474719	"[' ""AL160281.1""']"
26	2548	1.0	174852627.0	174853157.0	0.944713585032922	0.313480103597008	0.631233481435914	"[' ""BANF1P4""', ' ""NDUFAF4P4""', ' ""Z99127.3""', ' ""RABGAP1L-IT1""', ' ""Z99127.2""']"
27	2555	1.0	167378534.0	167379064.0	0.9479510579327359	0.28577926566769	0.6621717922650459	"[' ""AL136984.1""', ' ""AL359962.3""', ' ""AL359962.1""', ' ""AL359962.2""']"
28	2561	1.0	220164427.0	220164957.0	0.9237358672316759	0.25989604207881	0.6638398251528659	"[' ""IARS2""', ' ""MIR215""', ' ""MIR194-1""', ' ""RPS15AP12""', ' ""MIR664A""', ' ""SNORA36B""', ' ""AL445435.1""', ' ""KF455155.1""', ' ""MORF4L1P1""']"
29	2700	1.0	109112825.0	109113355.0	0.9310607037647439	0.321737487593783	0.6093232161709611	"[' ""BX679664.1""', ' ""RANP5""', ' ""TAF13""', ' ""AL356488.3""', ' ""TMEM167B""', ' ""SCARNA2""', ' ""AL356488.2""', ' ""AL356488.1""', ' ""C1orf194""', ' ""KIAA1324""']"
30	2795	1.0	161147577.0	161148107.0	0.8666139329578949	0.23829692403310104	0.6283170089247939	"[' ""NECTIN4""', ' ""AL591806.1""', ' ""KLHDC9""', ' ""PFDN2""', ' ""NIT1""', ' ""DEDD""', ' ""AL591806.3""', ' ""UFC1""', ' ""AL590714.1""', ' ""USP21""', ' ""PPOX""', ' ""B4GALT3""', ' ""ADAMTS4""', ' ""NDUFS2""', ' ""FCER1G""', ' ""APOA2""', ' ""TOMM40L""', ' ""MIR5187""', ' ""NR1I3""']"
31	3005	1.0	101393629.0	101394159.0	0.952856437566137	0.336899207349938	0.6159572302161991	"[' ""LINC01307""']"
32	3038	1.0	78153203.0	78153733.0	0.9449390356223499	0.298577211013516	0.6463618246088341	"[' ""RNU6-1102P""', ' ""AC103591.1""', ' ""RNA5SP22""', ' ""RNFT1P2""']"
33	3195	1.0	91972678.0	91973208.0	0.950985837970269	0.349240357016988	0.601745480953281	"[' ""BRDT""', ' ""EPHX4""', ' ""LPCAT2BP""']"
34	3299	1.0	91972966.0	91973496.0	0.951262055507681	0.33870186540007696	0.612560190107604	"[' ""BRDT""', ' ""EPHX4""', ' ""LPCAT2BP""']"
35	3321	1.0	243871645.0	243872175.0	0.9526529795843092	0.334747193210162	0.6179057863741471	"[' ""AKT3-IT1""']"
36	3352	1.0	61665720.0	61665990.0	0.92971799043279	0.310318024902752	0.619399965530038	"[' ""AC099791.4""', ' ""AC099791.1""', ' ""TM2D1""', ' ""AC099791.2""']"
37	4134	1.0	93588170.0	93588700.0	0.959003601567425	0.358498641785723	0.600504959781702	"[' ""RNA5SP53""', ' ""AL109613.1""']"
38	4208	1.0	172414403.0	172414933.0	0.864537367776842	0.20790527611171	0.656632091665132	"[' ""RNU6-157P""', ' ""PIGC""', ' ""C1orf105""']"
39	4259	1.0	51240305.0	51240869.0	0.874305057256518	0.25872173372477	0.6155833235317479	"[' ""CFL1P2""', ' ""LINC01562""', ' ""RNF11""', ' ""AL162430.1""', ' ""AL162430.2""', ' ""TTC39A-AS1""']"
40	4325	1.0	91872402.0	91872672.0	0.920292291777214	0.301950275104921	0.6183420166722929	"[' ""RN7SL653P""']"
41	4386	1.0	26124606.0	26125136.0	0.931610209231683	0.30491645841799603	0.626693750813687	"[' ""SLC30A2""', ' ""AL391650.2""', ' ""TRIM63""', ' ""PDIK1L""', ' ""FAM110D""', ' ""C1orf232""', ' ""AL391650.1""', ' ""ZNF593""', ' ""CNKSR1""', ' ""CATSPER4""', ' ""AL355877.3""']"
42	4510	1.0	88646108.0	88646611.0	0.914559188542283	0.305862894642774	0.6086962938995091	"[' ""RPL36AP10""']"
43	4905	1.0	26124554.0	26124794.0	0.884785234245239	0.273968300103911	0.6108169341413281	"[' ""SLC30A2""', ' ""AL391650.2""', ' ""TRIM63""', ' ""PDIK1L""', ' ""FAM110D""', ' ""C1orf232""', ' ""AL391650.1""', ' ""ZNF593""', ' ""CNKSR1""', ' ""CATSPER4""', ' ""AL355877.3""']"
44	5288	1.0	101704357.0	101704618.0	0.865236407852249	0.25036373821436	0.614872669637889	"[' ""LINC01709""', ' ""RNU6-965P""', ' ""RPSAP19""']"
45	5385	1.0	62996276.0	62996498.0	0.946111615192562	0.342112069984908	0.6039995452076541	"[' ""AC099794.2""', ' ""LINC01739""', ' ""AL162400.3""', ' ""AL162400.1""', ' ""AL162400.2""']"
