chr,start,end,no drugs avg,with drugs avg
22,38413594,38413864,0.7504741920251329,0.302853392846127
16,67966218,67966488,0.936754385124068,0.5374304065114089
2,43769705,43769975,0.6158319201187901,0.311289476908909
14,104601640,104601910,0.42771688973422706,0.329702526007017
11,11642209,11642479,0.333809869184026,0.30741869771002195
1,207872465,207872735,0.5623405303700191,0.37749159059027204
19,18302855,18303125,0.305449338013493,0.310190641126174
5,156782075,156782345,0.6117076915998689,0.30242528582744604
11,11642010,11642280,0.460145789816147,0.31297912421467
17,66259453,66259723,0.317723076746168,0.308006594108295
11,798418,798688,0.31201968000399605,0.31968083679364195
4,154605368,154605638,0.594044225448177,0.32494415833240003
10,23371069,23371339,0.537710201392622,0.324291745857833
3,155761907,155762177,0.611040072529739,0.301344382532672
1,205410310,205410580,0.48582090013454793,0.307591821690013
10,13527244,13527514,0.920999983798118,0.315471695111957
3,9191394,9191664,0.43283316044209896,0.32994193622988105
20,45381512,45381782,0.349369459077418,0.30078020279976697
19,13213643,13213913,0.5358453922577651,0.32587194178914597
2,206550346,206550616,0.30501666923696996,0.305238769783334
9,131903048,131903318,0.310715187297267,0.30647806235979497
1,85462973,85463243,0.311957965899977,0.34158594088134897
9,129327223,129327493,0.45570658728098207,0.317286702290432
16,31469458,31469728,0.404381805020512,0.36866088263698
1,155621540,155621810,0.7453617648496149,0.36404032868730796
1,40185930,40186200,0.489560849453334,0.312974913404695
7,150020588,150020858,0.620382671883546,0.30785267446373804
3,173302177,173302447,0.36979680297610207,0.30078223738994
7,22588998,22589268,0.793094661653912,0.310510007216744
20,17661411,17661681,0.47148350412175105,0.315890249912218
10,49731487,49731757,0.46085873114418996,0.329007467578607
7,1600237,1600507,0.7228620129901742,0.32274607400369704
11,62369385,62369655,0.38187216555771397,0.35082001573937605
6,160394867,160395137,0.918752129438942,0.32832360707233
1,6500988,6501258,0.707274803619683,0.30598785651352
1,205410106,205410376,0.44463175329007,0.307591821690013
23,135849562,135849832,0.6781428238223011,0.307921126747427
17,7486744,7487014,0.43485906697271504,0.313136139791698
7,127856997,127857267,0.5881253989283389,0.305983858902146
1,196577788,196578058,0.778521639782078,0.312895528604317
5,176816878,176817148,0.560474859696332,0.30778684960463504
