chr,start,end,no drugs avg,with drugs avg
1,39853461,39853731,0.9192888491979649,0.506278281146562
11,65548995,65549265,0.931824619992305,0.532993784345563
22,38413594,38413864,0.7504741920251329,0.5012400937306
16,85022212,85022482,0.9417120498192391,0.5010964208668139
6,1313597,1313867,0.6421443111591629,0.517621141774419
2,43769705,43769975,0.6158319201187901,0.512414874134754
11,1939127,1939397,0.521778308494394,0.5110560830269871
17,79495017,79495287,0.6465861984147621,0.514638372930571
5,156782075,156782345,0.6117076915998689,0.504509685790439
1,887029,887299,0.8959940965295591,0.500467074448188
17,37040111,37040381,0.8910575655731819,0.519747133680013
11,11642010,11642280,0.5423835083485039,0.5101113788900421
2,196169332,196169602,0.799453398178445,0.500035172695676
19,47933574,47933844,0.9338787077085731,0.5156274570514521
6,37751697,37751967,0.932808653298423,0.5213379867677941
4,154605368,154605638,0.611508474160546,0.508492307383491
10,23371069,23371339,0.5339185011869989,0.500005160689099
17,26554774,26555044,0.610603639282319,0.513363807821057
3,155761907,155762177,0.611040072529739,0.5200486514789121
9,117026666,117026936,0.8295450279921809,0.503124921893185
1,205410310,205410580,0.508331980505229,0.542734142366443
10,13527244,13527514,0.9213363974521391,0.537090555159511
11,3829825,3830095,0.887115985798973,0.550116599046075
19,13213643,13213913,0.5358453922577651,0.519048911423296
5,114922495,114922765,0.714405359155986,0.500899889511199
12,105219493,105219763,0.8334262098630508,0.501317088067494
16,70542896,70543166,0.8824993253940899,0.522163991101231
5,148832996,148833266,0.8232491969681,0.5009973969067729
3,49936693,49936963,0.7807951335961659,0.5006963568249491
19,56733120,56733390,0.9377349772675541,0.5087829933708
2,235914705,235914975,0.9273775870813741,0.508332569743203
10,92483406,92483676,0.7871176044180329,0.5705984749189879
7,150020588,150020858,0.620382671883546,0.509088005443734
20,33851231,33851501,0.863600669545735,0.500111520173757
5,180227572,180227842,0.934796795773071,0.506625608665321
7,22588998,22589268,0.793094661653912,0.547273112702687
7,2700722,2700992,0.918757262702026,0.5308415308022971
14,69943793,69944063,0.7302270952576899,0.534030709238927
5,132158753,132159023,0.9690597591647709,0.501692893283378
17,62314423,62314693,0.94408144022167,0.5049361520205379
10,49731487,49731757,0.511766531034733,0.5850546733920671
7,1600237,1600507,0.720292350107529,0.505351032197897
11,62369385,62369655,0.8456636357808021,0.507270892612928
6,160394867,160395137,0.918752129438942,0.549463642195694
14,103439295,103439565,0.6483046230820401,0.5002644913194699
3,170136942,170137212,0.9007066029248321,0.511325573293251
11,3829617,3829887,0.9030428777213791,0.550116599046075
10,124070205,124070475,0.836161641961385,0.500065139568933
19,12075513,12075783,0.89327868402356,0.501510446548392
1,6500988,6501258,0.707274803619683,0.58757321450664
22,31536280,31536550,0.539459461142433,0.506017819322192
16,2835696,2835966,0.913851857633277,0.502465365070214
3,195835130,195835400,0.853306202064621,0.5061820822089911
16,88701028,88701298,0.588935166585839,0.500303550054053
15,55806263,55806533,0.866991179876608,0.512451154701984
23,135849562,135849832,0.6781428238223011,0.508958508253876
17,7486744,7487014,0.5113592360263279,0.5205375586633579
7,127856997,127857267,0.5883431766282851,0.500201489945237
5,176816878,176817148,0.560474859696332,0.501673490024385
4,154605165,154605435,0.724488715981182,0.508492307383491
3,72924904,72925174,0.772156672637908,0.5594631510880009
5,176816652,176816922,0.607997706515521,0.501673490024385
17,73842027,73842297,0.8998882442493679,0.500167324518919
1,110173004,110173274,0.8192395129560709,0.508982823148646
1,6055250,6055520,0.9355434297501222,0.508806531357377
6,72093238,72093508,0.8474343971455179,0.501780580479808
23,132092499,132092769,0.8042925471760809,0.526173608992012
14,81329394,81329664,0.932284602147657,0.501029033366241
8,143385993,143386263,0.715373238113771,0.510467153978769
8,144925984,144926254,0.561329668294102,0.50991228882424
4,7980507,7980777,0.769845725854476,0.5125078206301721
3,141848687,141848957,0.989342761299683,0.5016361174593449
17,26561167,26561437,0.553994290176357,0.513363807821057
10,80534631,80534901,0.7620857029196819,0.5202270168645851
7,48131598,48131868,0.9506368341482142,0.520331395344013
15,90046530,90046800,0.7499613366910359,0.500570719813231
5,59189702,59189972,0.714510604783315,0.506328879328081
