,chr,start,end,no drugs avg,with drugs avg,change
957,1.0,186373726.0,186373833.0,0.955070559739632,0.303172178916031,0.6518983808236011
1176,1.0,110554293.0,110554533.0,0.950905889913172,0.296985537588489,0.6539203523246829
1253,1.0,233088730.0,233088970.0,0.944898546731697,0.23733668153367496,0.7075618651980221
1404,1.0,180851129.0,180851399.0,0.980109983989855,0.317865026021894,0.662244957967961
1785,1.0,178159041.0,178159281.0,0.901894435171437,0.23345377399480605,0.6684406611766309
2361,1.0,12332214.0,12332744.0,0.9522606517154392,0.301880592994867,0.6503800587205721
2804,1.0,233088591.0,233089085.0,0.944898546731697,0.23733668153367496,0.7075618651980221
3321,1.0,243871645.0,243872175.0,0.9526529795843092,0.28677614936741497,0.665876830216894
3578,1.0,117601126.0,117601656.0,0.953659069781636,0.230281141025816,0.72337792875582
3795,1.0,29447808.0,29447964.0,0.9691897703739508,0.28519924742718,0.6839905229467709
4023,1.0,180851076.0,180851532.0,0.981433232037145,0.30091496721059097,0.6805182648265541
4440,1.0,117600894.0,117601424.0,0.953659069781636,0.230281141025816,0.72337792875582
7066,1.0,53213858.0,53214098.0,0.953976246549382,0.3032055595194569,0.6507706870299251
7135,1.0,178348992.0,178349232.0,0.95458621378759,0.304117230366606,0.650468983420984
7845,1.0,185123060.0,185123300.0,0.9897282804443058,0.30854388990441306,0.6811843905398928
9890,1.0,110554142.0,110554700.0,0.950905889913172,0.296985537588489,0.6539203523246829
10496,1.0,53213709.0,53214239.0,0.953976246549382,0.3032055595194569,0.6507706870299251
10800,1.0,186373524.0,186374017.0,0.955070559739632,0.303172178916031,0.6518983808236011
13983,1.0,121142664.0,121143194.0,0.940558796990038,0.240505695011567,0.7000531019784711
14652,2.0,101868315.0,101868511.0,0.878709503943167,0.192235007735689,0.686474496207478
15074,2.0,68471659.0,68471899.0,0.9697325680782308,0.29451067720249297,0.6752218908757379
17379,2.0,101868147.0,101868841.0,0.878709503943167,0.192235007735689,0.686474496207478
17619,2.0,110373447.0,110373687.0,0.8905349401222942,0.21101916605737694,0.6795157740649171
17738,2.0,40677724.0,40677964.0,0.858833832640626,0.150582861304606,0.7082509713360201
19032,2.0,37570549.0,37571079.0,0.9584229675549448,0.266264215334371,0.6921587522205739
19872,2.0,220364799.0,220365329.0,0.953837166357453,0.275861236080028,0.6779759302774251
20499,2.0,58358140.0,58358670.0,0.94529504938458,0.283331457222292,0.661963592162288
20659,2.0,31486435.0,31486965.0,0.943905526685739,0.28795670376686106,0.6559488229188779
21222,2.0,180126148.0,180126678.0,0.980460829893308,0.32739340433371505,0.653067425559593
21355,2.0,27664938.0,27665349.0,0.970444340754134,0.270938326140256,0.6995060146138781
21868,2.0,58358321.0,58358561.0,0.94529504938458,0.283331457222292,0.661963592162288
22467,2.0,27664938.0,27665328.0,0.977478439804607,0.286643957046568,0.6908344827580389
22995,2.0,190331414.0,190331738.0,0.9553290697433808,0.295198569799924,0.6601304999434571
23006,2.0,220364957.0,220365197.0,0.953837166357453,0.275861236080028,0.6779759302774251
23026,2.0,179283820.0,179284215.0,0.960833406662751,0.297500238010149,0.6633331686526021
24841,2.0,27665083.0,27665155.0,0.977478439804607,0.286643957046568,0.6908344827580389
25021,2.0,159317277.0,159317547.0,0.936626670667935,0.266459368956368,0.670167301711567
25056,2.0,32852518.0,32852788.0,0.944973700804015,0.235618008833864,0.7093556919701509
26469,2.0,27665173.0,27665443.0,0.9714183409505258,0.27084627975671,0.7005720611938158
26724,3.0,4675153.0,4675377.0,0.7076927581417429,0.009703336178505807,0.6979894219632371
26994,3.0,65411589.0,65411859.0,0.916084369320356,0.264919038417864,0.6511653309024921
