,chr,start,end,no drugs avg,with drugs avg,change
27660,3.0,4985301.0,4985571.0,0.390889589073244,0.987619273813672,-0.5967296847404282
32510,3.0,4985185.0,4985715.0,0.390889589073244,0.987619273813672,-0.5967296847404282
33102,3.0,4985388.0,4985918.0,0.38371152763650296,0.987277420009229,-0.6035658923727261
79951,9.0,82187899.0,82188139.0,0.299182516531025,0.5515014989901079,-0.2523189824590829
118541,16.0,16221598.0,16221802.0,0.3750745986966261,0.630150412775049,-0.2550758140784229
122896,16.0,16221432.0,16221916.0,0.3750745986966261,0.630150412775049,-0.2550758140784229
133548,19.0,51108021.0,51108551.0,0.58724145092934,0.907348141931143,-0.320106691001803
139704,19.0,51107820.0,51108350.0,0.63588163590139,0.932342849191991,-0.2964612132906009
144523,21.0,9484859.0,9485114.0,0.35282182911138704,0.999917971542222,-0.647096142430835
144536,21.0,44914453.0,44914693.0,0.4151377910751911,0.7837034052369599,-0.3685656141617689
145027,21.0,44923336.0,44923576.0,0.3279565448593039,0.7427773415075161,-0.41482079664821214
145134,21.0,9485078.0,9485608.0,0.06088730175665,0.999999999996489,-0.9391126982398391
145543,21.0,44922331.0,44922601.0,0.33709637071289195,0.751129887284228,-0.4140335165713361
146649,22.0,39377373.0,39377573.0,0.6520403173306311,0.995722380202828,-0.3436820628721969
147482,22.0,39377261.0,39377791.0,0.652896663273926,0.9955601764602752,-0.34266351318634897
